"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Ti","2","255.98753","0.00005","255.987498","0.000009","39052.692","15","","","31756.6406","70809.3378","3d2.(3F).4p","z 2D*","3/2","3d2.(1D).5s","2D","3/2","","","u37","",39052.692,10.5726670901517,"wn(cm-1)"
"Ti","2","255.706008","0.000013","255.70598","0.00003","39095.685","76","","","45548.9273","84644.617","3d2.(3P).4p","y 2P*","3/2","3d2.(3F).5d","4D","5/2","","","u37","",39095.685,10.5737673818273,"wn(cm-1)"
"Ti","2","255.598697","0.000013","255.598614","0.000016","39112.098","355*","3.2e+07","D","4628.6571","43740.7678","3d2.(3F).4s","a 2F","5/2","3d2.(1G).4p","y 2G*","7/2","","T2403n","u37","",39112.098,10.5741871098802,"wn(cm-1)"
"Ti","2","255.57132","0.00013","255.571235","0.000009","39116.288","5","","","29968.3304","69084.6309","3d2.(3F).4p","z 4G*","9/2","3d2.(3F).4d","f 4F","9/2","","","u37","",39116.288,10.5742942321211,"wn(cm-1)"
"Ti","2","255.48892","0.00016","255.489000","0.000009","39128.90","4","","","32332.9031","71461.7932","3d3","d 2D1","5/2","3d2.(3F).5p","4G*","5/2","","","u37","",39128.9,10.5746166033859,"wn(cm-1)"
"Ti","2","255.11465","0.00005","255.114627","0.000012","39186.304","14","","","32275.4863","71461.7932","3d3","d 2D1","3/2","3d2.(3F).5p","4G*","5/2","","","u37","",39186.304,10.5760825769733,"wn(cm-1)"
"Ti","2","254.91163","0.00006","254.911636","0.000007","39217.510","10","","","29734.6206","68952.1302","3d2.(3F).4p","z 4G*","7/2","3d2.(3F).4d","f 4F","7/2","","","u37","",39217.51,10.5768786097186,"wn(cm-1)"
"Ti","2","254.863728","0.000013","254.863719","0.000009","39224.881","93","","","29544.4540","68769.3365","3d2.(3F).4p","z 4G*","5/2","3d2.(3F).4d","f 4F","3/2","","","u37","",39224.881,10.5770665438172,"wn(cm-1)"
"Ti","2","254.67884","0.00005","254.678884","0.000009","39253.355","12","","","32332.9031","71586.2514","3d3","d 2D1","5/2","3d2.(3F).5p","4G*","7/2","","","u37","",39253.355,10.5777921972646,"wn(cm-1)"
"Ti","2","254.36196","0.00008","254.36201","0.00003","39302.253","8","","","29544.4540","68846.699","3d2.(3F).4p","z 4G*","5/2","3d2.(3F).4d","f 4F","5/2","","","u37","",39302.253,10.5790371244584,"wn(cm-1)"
"Ti","2","254.277550","0.000013","254.277554","0.000007","39315.299","110","","","31490.9177","70806.2161","3d2.(3F).4p","z 2F*","7/2","3d2.(1D).5s","2D","5/2","","","u37","",39315.299,10.5793690096364,"wn(cm-1)"
"Ti","2","253.679","0.002","253.681448","0.000007","39408.1","9","","","29544.4540","68952.1302","3d2.(3F).4p","z 4G*","5/2","3d2.(3F).4d","f 4F","7/2","","","L5432","",39408.1,10.5817266579129,"wn(cm-1)"
"Ti","2","253.587016","0.000013","253.587019","0.000009","39422.350","384","4.86e+07","B+","907.9672","40330.3168","3d3","b 4F","3/2","3d2.(3P).4p","y 4D*","1/2","","T7385","u37","",39422.35,10.5820881933388,"wn(cm-1)"
"Ti","2","253.461943","0.000013","253.461940","0.000009","39441.802","610","2.95e+07","B+","983.9157","40425.7183","3d3","b 4F","5/2","3d2.(3P).4p","y 4D*","3/2","","T7385","u37","",39441.802,10.582581497328,"wn(cm-1)"
"Ti","2","253.3899","0.0002","253.389929","0.000012","39453.02","3","","","32275.4863","71728.4971","3d3","d 2D1","3/2","3d2.(3F).5p","4F*","3/2","","","u37","",39453.02,10.5828658759422,"wn(cm-1)"
"Ti","2","253.125172","0.000013","253.125172","0.000006","39494.274","930","3.71e+07","B+","1087.3561","40581.6301","3d3","b 4F","7/2","3d2.(3P).4p","y 4D*","5/2","","T7385","u37","",39494.274,10.5839109783559,"wn(cm-1)"
"Ti","2","252.974777","0.000013","252.974783","0.000009","39517.752","154","7.48e+06","B+","907.9672","40425.7183","3d3","b 4F","3/2","3d2.(3P).4p","y 4D*","3/2","","T7385","u37","",39517.752,10.5845052676528,"wn(cm-1)"
"Ti","2","252.76526","0.00005","252.765268","0.000012","39550.506","12","","","32275.4863","71825.9911","3d3","d 2D1","3/2","3d2.(3F).5p","4F*","5/2","","","u37","",39550.506,10.5853337670457,"wn(cm-1)"
"Ti","2","252.560296","0.000013","252.560300","0.000007","39582.601","1350","4.06e+07","B+","1215.8329","40798.4333","3d3","b 4F","9/2","3d2.(3P).4p","y 4D*","7/2","","T7385","u37","",39582.601,10.586144932005,"wn(cm-1)"
"Ti","2","252.463890","0.000013","252.463894","0.000006","39597.715","206","8.21e+06","B+","983.9157","40581.6301","3d3","b 4F","5/2","3d2.(3P).4p","y 4D*","5/2","","T7385","u37","",39597.715,10.5865266935575,"wn(cm-1)"
"Ti","2","252.45760","0.00006","252.457578","0.000007","39598.701","10","","","31207.5111","70806.2161","3d2.(3F).4p","z 2F*","5/2","3d2.(1D).5s","2D","5/2","","","u37","",39598.701,10.5865515936742,"wn(cm-1)"
"Ti","2","252.437668","0.000013","252.437676","0.000007","39601.828","46","","","31207.5111","70809.3378","3d2.(3F).4p","z 2F*","5/2","3d2.(1D).5s","2D","3/2","","","u37","",39601.828,10.5866305577933,"wn(cm-1)"
"Ti","2","252.27394","0.00003","252.273931","0.000009","39627.528","24","","","32332.9031","71960.4326","3d3","d 2D1","5/2","3d2.(3F).5p","4F*","7/2","","","u37","",39627.528,10.5872793072518,"wn(cm-1)"
"Ti","2","251.98049","0.00005","251.980562","0.000007","39673.675","12","4.61e+05","C'","907.9672","40581.6301","3d3","b 4F","3/2","3d2.(3P).4p","y 4D*","5/2","","T7385","u37","",39673.675,10.5884431484916,"wn(cm-1)"
"Ti","2","251.9327","0.0002","251.932540","0.000007","39681.20","3","","","393.4459","40074.6707","3d2.(3F).4s","a 4F","9/2","3d2.(1D).4p","y 2F*","7/2","","","u37","",39681.2,10.588632802877,"wn(cm-1)"
"Ti","2","251.743134","0.000013","251.743139","0.000007","39711.078","160","5.01e+06","B+","1087.3561","40798.4333","3d3","b 4F","7/2","3d2.(3P).4p","y 4D*","7/2","","T7385","u37","",39711.078,10.5893854705712,"wn(cm-1)"
"Ti","2","251.08901","0.00019","251.089052","0.000007","39814.53","9","3.61e+05","D+","983.9157","40798.4333","3d3","b 4F","5/2","3d2.(3P).4p","y 4D*","7/2","","T7385","L17999","",39814.53,10.5919872000256,"wn(cm-1)"
"Ti","2","249.89511","0.00003","249.895120","0.000007","40004.729","21","1.37e+06","C","4897.7179","44902.4455","3d2.(3F).4s","a 2F","7/2","3d2.(3P).4p","x 2D*","5/2","","T7385","u37","",40004.729,10.596752951108,"wn(cm-1)"
"Ti","2","249.68463","0.00004","249.684630","0.000012","40038.450","18","","","40074.6707","80113.1209","3d2.(1D).4p","y 2F*","7/2","3d2.(1G).4d","2G","9/2","","","u37","",40038.45,10.5975955213911,"wn(cm-1)"
"Ti","2","249.18450","0.00006","249.184567","0.000008","40118.804","10","","","32332.9031","72451.6968","3d3","d 2D1","5/2","3d2.(3F).5p","4D*","5/2","","","u37","",40118.804,10.5996004310632,"wn(cm-1)"
"Ti","2","248.99345","0.00004","248.993489","0.000014","40149.585","15","","","39926.8192","80076.398","3d2.(1D).4p","y 2F*","5/2","3d2.(1G).4d","2G","7/2","","","u37","",40149.585,10.6003673830824,"wn(cm-1)"
"Ti","2","248.226","","248.225507","0.000012","40273.7","2:","","","4628.6571","44902.4455","3d2.(3F).4s","a 2F","5/2","3d2.(3P).4p","x 2D*","5/2","","","L5432","",40273.7,10.6034539294361,"wn(cm-1)"
"Ti","2","248.21146","0.00007","248.211437","0.000008","40276.067","9","","","32332.9031","72608.9742","3d3","d 2D1","5/2","3d2.(3F).5p","4D*","7/2","","","u37","",40276.067,10.6035127005558,"wn(cm-1)"
"Ti","2","248.150","","248.148927","0.000012","40286.1","4:","2.0e+06","D","4628.6571","44914.8733","3d2.(3F).4s","a 2F","5/2","3d2.(3P).4p","x 2D*","3/2","","T2403n","L5432","",40286.1,10.6037617752872,"wn(cm-1)"
"Ti","2","247.999433","0.000012","247.999430","0.000008","40310.499","51","","","37430.6814","77741.1809","3d2.(3P).4p","z 2S*","1/2","3d2.(3P).4d","4P","3/2","","","u37","",40310.499,10.6043672350969,"wn(cm-1)"
"Ti","2","247.926742","0.000012","247.926732","0.000011","40322.317","41","","","37430.6814","77753.0000","3d2.(3P).4p","z 2S*","1/2","3d2.(3P).4d","4P","1/2","","","u37","",40322.317,10.604660366372,"wn(cm-1)"
"Ti","2","247.878","","247.877561","0.000007","40330.2","3:","","","0.0000","40330.3168","3d2.(3F).4s","a 4F","3/2","3d2.(3P).4p","y 4D*","1/2","","","L5432","",40330.2,10.6048558469426,"wn(cm-1)"
"Ti","2","247.86965","0.00006","247.869648","0.000010","40331.604","10","5.12e+05","D+","94.1142","40425.7183","3d2.(3F).4s","a 4F","5/2","3d2.(3P).4p","y 4D*","3/2","","T7385","u37","",40331.604,10.6048906589585,"wn(cm-1)"
"Ti","2","247.72028","0.00004","247.720249","0.000006","40355.922","14","7.9e+05","D","225.7039","40581.6301","3d2.(3F).4s","a 4F","7/2","3d2.(3P).4p","y 4D*","5/2","","T2403n","u37","",40355.922,10.6054934287283,"wn(cm-1)"
