element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mn,2,"=""263.2006""","=""0.0018""","=""263.2011""","=""0.0003""","=""37982.51""","=""200*""","=""""",,"=""27583.59""","=""65566.03""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4G).4p""","=""z 5H*""","=""4""",,"=""""","=""L562""",
Mn,5,"=""""","=""""","=""263.230""","=""""","=""37978.2""","=""""","=""9.1e-01""",E,"=""24630.0""","=""62608.2""","=""3d3""","=""2D2""","=""5/2""","=""3d3""","=""2D1""","=""5/2""",E2,"=""T233n""","=""""",
Mn,2,"=""263.2354""","=""0.0006""","=""263.23533""","=""0.00021""","=""37977.48""","=""2000""","=""2.7e+08""",C,"=""27588.53""","=""65566.03""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4G).4p""","=""z 5H*""","=""4""",,"=""c88""","=""L562""",
Mn,2,"=""263.243""","=""""","=""263.24287""","=""0.00008""","=""37976.4""","=""4:""","=""4.2e+05""",D+,"=""29889.534""","=""67865.945""","=""3d5.(4P).4s""","=""a 5P""","=""3""","=""3d5.(4G).4p""","=""z 3F*""","=""4""",,"=""T7259""","=""L18292""",
Mn,2,"=""263.2975""","=""0.0006""","=""263.2974""","=""0.0003""","=""37968.53""","=""20""","=""""",,"=""49889.927""","=""87858.48""","=""3d5.(4F).4s""","=""c 3F""","=""3""","=""3d5.(a 2G).4p""","=""u 3F*""","=""2""",,"=""""","=""L562""",
Mn,2,"=""263.3085""","=""0.0006""","=""263.30765""","=""0.00014""","=""37966.94""","=""10""","=""""",,"=""44745.501""","=""82712.57""","=""3d5.(2F).4s""","=""b 3F""","=""2""","=""3d5.(4F).4p""","=""x 5D*""","=""3""",,"=""""","=""L562""",
Mn,2,"=""263.3334""","=""0.0006""","=""263.3327""","=""0.0003""","=""37963.35""","=""40""","=""""",,"=""43696.217""","=""81659.67""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d5.(2D).4p""","=""x 3D*""","=""3""",,"=""""","=""L562""",
Mn,2,"=""263.375""","=""0.0015""","=""263.37412""","=""0.00021""","=""37957.4""","=""2""","=""""",,"=""32787.90""","=""70745.387""","=""3d5.(4D).4s""","=""b 5D""","=""4""","=""3d5.(4P).4p""","=""z 3D*""","=""3""",,"=""""","=""L562""",
Mn,2,"=""263.3795""","=""0.0006""","=""263.3797""","=""0.0003""","=""37956.71""","=""30""","=""""",,"=""41190.53""","=""79147.22""","=""3d5.(2I).4s""","=""a 3I""","=""6""","=""3d5.(2I).4p""","=""z 1K*""","=""7""",,"=""""","=""L562""",
Mn,5,"=""""","=""""","=""263.511""","=""""","=""37937.7""","=""""","=""1.5e-01""",D,"=""24670.5""","=""62608.2""","=""3d3""","=""2D2""","=""3/2""","=""3d3""","=""2D1""","=""5/2""",M1,"=""T233""","=""""",
Mn,5,"=""""","=""""","=""263.511""","=""""","=""37937.7""","=""""","=""1.6e+00""",E,"=""24670.5""","=""62608.2""","=""3d3""","=""2D2""","=""3/2""","=""3d3""","=""2D1""","=""5/2""",E2,"=""T233n""","=""""",
Mn,2,"=""263.5604""","=""0.0018""","=""263.55868""","=""0.00014""","=""37930.65""","=""*""","=""3.2e+07""",D,"=""44899.851""","=""82830.76""","=""3d5.(2F).4s""","=""b 3F""","=""3""","=""3d5.(a 2F).4p""","=""w 3F*""","=""4""",,"=""c88""","=""L562""",
Mn,2,"=""263.5604""","=""0.0015""","=""263.56229""","=""0.00021""","=""37930.65""","=""*""","=""1.2e+08""",D,"=""43850.341""","=""81780.73""","=""3d5.(4F).4s""","=""a 5F""","=""2""","=""3d5.(4F).4p""","=""y 5G*""","=""3""",,"=""c88""","=""L562""",
Mn,2,"=""263.584""","=""0.0015""","=""""","=""""","=""37927.2""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L562""",
Mn,2,"=""263.620""","=""0.0015""","=""263.61998""","=""0.00021""","=""37922.0""","=""20""","=""""",,"=""41190.53""","=""79112.62""","=""3d5.(2I).4s""","=""a 3I""","=""6""","=""3d5.(2I).4p""","=""z 1H*""","=""5""",,"=""""","=""L562""",
Mn,2,"=""263.6668""","=""0.0006""","=""263.6666""","=""0.0003""","=""37915.35""","=""40""","=""""",,"=""44139.031""","=""82054.42""","=""3d5.(2D).4s""","=""c 3D""","=""1""","=""3d5.(4F).4p""","=""x 5F*""","=""2""",,"=""""","=""L562""",
Mn,2,"=""263.7163""","=""0.0006""","=""263.71744""","=""0.00021""","=""37908.26""","=""80""","=""""",,"=""37811.88""","=""75719.955""","=""3d6""","=""a 3D""","=""1""","=""3d5.(4D).4p""","=""y 3P*""","=""1""",,"=""""","=""L562""",
Mn,2,"=""263.7889""","=""0.0006""","=""263.78783""","=""0.00021""","=""37897.81""","=""100""","=""2.2e+08""",C,"=""44521.54""","=""82419.50""","=""3d5.(2F).4s""","=""b 3F""","=""4""","=""3d5.(a 2F).4p""","=""w 3D*""","=""3""",,"=""c88""","=""L562""",
Mn,2,"=""263.813""","=""0.0015""","=""263.8113""","=""0.0003""","=""37894.4""","=""5""","=""""",,"=""27588.53""","=""65483.12""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4G).4p""","=""z 5H*""","=""3""",,"=""""","=""L562""",
Mn,2,"=""263.8173""","=""0.0006""","=""263.8171""","=""0.0003""","=""37893.73""","=""1000""","=""2.7e+08""",C,"=""27589.36""","=""65483.12""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d5.(4G).4p""","=""z 5H*""","=""3""",,"=""c88""","=""L562""",
Mn,2,"=""263.8567""","=""0.0006""","=""263.85637""","=""0.00014""","=""37888.07""","=""80""","=""""",,"=""32857.27""","=""70745.387""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(4P).4p""","=""z 3D*""","=""3""",,"=""""","=""L562""",
Mn,2,"=""263.8700""","=""0.0006""","=""263.86946""","=""0.00014""","=""37886.16""","=""60""","=""""",,"=""32859.15""","=""70745.387""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d5.(4P).4p""","=""z 3D*""","=""3""",,"=""""","=""L562""",
Mn,2,"=""263.882""","=""0.0015""","=""263.88243""","=""0.00014""","=""37884.4""","=""15""","=""""",,"=""43395.395""","=""81279.77""","=""3d5.(2D).4s""","=""c 3D""","=""3""","=""3d5.(a 2F).4p""","=""z 1G*""","=""4""",,"=""""","=""L562""",
Mn,2,"=""263.9029""","=""0.0018""","=""263.9012""","=""0.0003""","=""37881.44""","=""20D*""","=""""",,"=""43850.341""","=""81732.02""","=""3d5.(4F).4s""","=""a 5F""","=""2""","=""3d5.(2D).4p""","=""x 3D*""","=""1""",,"=""""","=""L562""",
