"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Ni","2","","","402.5287","","24835.93","","2.9e-04","E","0.00","24835.93","3p6.3d9","2D","5/2","3p6.3d8.(3P).4s","4P","1/2","E2","T4240","","",24835.93,10.1200466739915,"wn(cm-1)"
"Ni","2","","","399.3059","","25036.38","","2.2e-03","E","0.00","25036.38","3p6.3d9","2D","5/2","3p6.3d8.(1D).4s","2D","5/2","M1","T4240","","",25036.38,10.1280852460729,"wn(cm-1)"
"Ni","2","","","362.6888","","27563.99","","1.4e-03","E","1506.94","29070.93","3p6.3d9","2D","3/2","3p6.3d8.(3P).4s","2P","3/2","M1","T4240","","",27563.99,10.224265489685,"wn(cm-1)"
"Ni","2","","","355.9410","","28086.52","","1.1e-03","E","1506.94","29593.46","3p6.3d9","2D","3/2","3p6.3d8.(3P).4s","2P","1/2","M1","T4240","","",28086.52,10.2430450249191,"wn(cm-1)"
"Ni","2","","","343.8877","","29070.93","","5.7e-04","E","0.00","29070.93","3p6.3d9","2D","5/2","3p6.3d8.(3P).4s","2P","3/2","M1","T4240","","",29070.93,10.2774939847853,"wn(cm-1)"
"Ni","2","340.105","","","","29394.2","500","","","","","","","","","","","","","L897","",29394.2,10.2885526549532,"wn(cm-1)"
"Ni","2","337.897","","","","29586.3","500","","","","","","","","","","","","","L897","",29586.3,10.2950666953318,"wn(cm-1)"
"Ni","2","","","337.8155","","29593.46","","4.1e+00","E","0.00","29593.46","3p6.3d9","2D","5/2","3p6.3d8.(3P).4s","2P","1/2","E2","T4240","","",29593.46,10.2953086699541,"wn(cm-1)"
"Ni","2","336.345","","","","29722.8","500","","","","","","","","","","","","","L897","",29722.8,10.2996697070454,"wn(cm-1)"
"Ni","2","335.868","","","","29765.0","600","","","","","","","","","","","","","L897","",29765,10.3010884855875,"wn(cm-1)"
"Ni","2","334.924","","","","29848.9","500","","","","","","","","","","","","","L897","",29848.9,10.3039032672205,"wn(cm-1)"
"Ni","2","334.884","","","","29852.5","500","","","","","","","","","","","","","L897","",29852.5,10.3040238674075,"wn(cm-1)"
"Ni","2","333.809","","","","29948.6","500","","","","","","","","","","","","","L897","",29948.6,10.3072378578767,"wn(cm-1)"
"Ni","2","333.564","","","","29970.6","400","","","","","","","","","","","","","L897","",29970.6,10.3079721801303,"wn(cm-1)"
"Ni","2","333.188","","","","30004.5","2000","","","","","","","","","","","","","L897","",30004.5,10.3091026493954,"wn(cm-1)"
"Ni","2","330.571","","","","30242.0","400","","","","","","","","","","","","","L897","",30242,10.3169869656726,"wn(cm-1)"
"Ni","2","329.760","","","","30316.4","500","","","","","","","","","","","","","L897","",30316.4,10.3194440991977,"wn(cm-1)"
"Ni","2","329.287","","","","30359.9","400","","","","","","","","","","","","","L897","",30359.9,10.3208779376965,"wn(cm-1)"
"Ni","2","","","322.3149","","31016.60","","3.5e+00","E","1506.94","32523.54","3p6.3d9","2D","3/2","3p6.3d8.(1G).4s","2G","7/2","E2","T4240","","",31016.6,10.3422778240179,"wn(cm-1)"
"Ni","2","","","307.6074","","32499.53","","4.6e+00","E","0.00","32499.53","3p6.3d9","2D","5/2","3p6.3d8.(1G).4s","2G","9/2","E2","T4240","","",32499.53,10.3889809066748,"wn(cm-1)"
"Ni","2","","","307.3803","","32523.54","","3.5e-01","E","0.00","32523.54","3p6.3d9","2D","5/2","3p6.3d8.(1G).4s","2G","7/2","E2","T4240","","",32523.54,10.3897194138259,"wn(cm-1)"
"Ni","2","286.402","","","","34905.7","500","","","","","","","","","","","","","L897","",34905.7,10.4604054186369,"wn(cm-1)"
"Ni","2","","","263.0278","","38007.46","","6.8e+05","C","13550.39","51557.85","3p6.3d8.(3F).4s","2F","7/2","3p6.3d8.(3F).4p","4D*","7/2","","T1024n","","",38007.46,10.5455377352306,"wn(cm-1)"
"Ni","2","261.506","","","","38228.6","500","","","","","","","","","","","","","L897","",38228.6,10.5513392055648,"wn(cm-1)"
"Ni","2","260.994","","","","38303.6","500","","","","","","","","","","","","","L897","",38303.6,10.5532991655296,"wn(cm-1)"
"Ni","2","260.626","","","","38357.7","500","","","","","","","","","","","","","L897","",38357.7,10.5547105689099,"wn(cm-1)"
"Ni","2","256.592","","","","38960.7","500","","","","","","","","","","","","","L897","",38960.7,10.5703087247409,"wn(cm-1)"
