element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Fe,2,309.8599,0.0005,309.860505,0.000017,32263.29,220d?,,,60384.368,92647.591,3d5.4s2,c 4D,1/2,3d6.(3F1).4p,4D*,3/2,,,L18349c143,,32263.29,10.381685330360165,wn(cm-1)
Fe,2,309.8466,0.0005,309.846915,0.000017,32264.67,110d,1.7e+06,D+,72651.914,104916.552,3d6.(3D).4p,w 4D*,7/2,3d6.(3F2).4d,4F,9/2,,T6892c83,L18349c143,,32264.67,10.381728102516613,wn(cm-1)
Fe,2,309.8351,0.0005,309.835238,0.000016,32265.87,110,3.1e+06,D+,72650.698,104916.552,3d6.(3D).4p,w 4F*,9/2,3d6.(3F2).4d,4F,9/2,,T6892c83,L18349c143,,32265.87,10.381765294209108,wn(cm-1)
Fe,2,309.7494,0.0005,309.749066,0.000019,32274.80,140bl(Fe I),,,73016.184,105291.014,3d6.(1G2).4p,x 2F*,7/2,3d6.(3F2).4d,4G,7/2,,,L18349c143,,32274.8,10.382042018948935,wn(cm-1)
Fe,2,309.7417,0.0005,309.74173,0.00003,32275.60,700d?,,,31811.814,64087.408,3d7,b 2F,5/2,3d6.(3F2).4p,y 4G*,5/2,,,L18349c143,,32275.6,10.38206680578217,wn(cm-1)
Fe,2,309.7342,0.0005,309.73416,0.00003,32276.38,40?,,,89890.396,122166.779,3d6.(3F1).4p,4G*,7/2,3d6.(3H).6s,4H,9/2,,,L18349c143,,32276.38,10.38209097235305,wn(cm-1)
Fe,2,309.6799,0.0005,309.678981,0.000015,32282.04,160d?,4.2e+05,D,66012.775,98294.909,3d6.(3G).4p,x 4F*,9/2,3d6.(3H).5s,e 4H,11/2,,T6892c83,L18349c143,,32282.04,10.382266317413059,wn(cm-1)
Fe,2,309.62938,0.00007,309.629382,0.000020,32287.305,2000,1.9e+06,D+,31999.049,64286.354,3d7,b 2F,7/2,3d6.(3F2).4p,z 2F*,7/2,,T6892c83,L18349c139,,32287.305,10.382429397896892,wn(cm-1)
Fe,2,309.4743,0.0005,309.473169,0.000017,32303.48,90d?,,,72524.561,104828.163,3d6.(3D).4p,w 4D*,3/2,3d6.(5D).5d,6D,5/2,,,L18349c142,,32303.48,10.382930243345298,wn(cm-1)
Fe,2,309.4619,0.0005,309.461060,0.000015,32304.78,80,,,79439.496,111744.362,3d6.(5D).5s,e 4D,7/2,3d6.(3F2).5p,2G*,7/2,,,L18349c143,,32304.78,10.38297048587776,wn(cm-1)
