element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Fe,2,1731.78227,0.00009,1731.78206,0.00018,5772.8213,100bl(Ne),2.27e+06,B+,84527.806,90300.628,3d6.(5D).4d,e 6G,9/2,3d6.(5D).5p,6F*,7/2,,T6892c83,L18349c148,,5772.8213,8.660916200138738,wn(cm-1)
Fe,1,1731.6889,0.0024,1731.6888,0.0007,5773.132,13,,,51630.001,57403.134,3d6.(5D).4s (6D).5p,t 5D*,2,3d6.4s.(6D).5d,5P,2,,,L11631,,5773.132,8.660970019861026,wn(cm-1)
Fe,1,1731.3084,0.0024,1731.3088,0.0004,5774.401,4,,,51381.457,57155.857,3d6.(5D).4s (6D).5p,u 5F*,4,3d6.4s.(6D).5d,7G,4,,,L11631,,5774.401,8.661189807066675,wn(cm-1)
Fe,1,1731.0853,0.0009,1731.0849,0.0004,5775.145,56,,,50979.579,56754.726,3d6.(5D).4s (6D).4d,e 5G,4,3d6.4s.(6D<9/2>).4f,2[9/2]*,5,,,L11631,,5775.145,8.661318643299897,wn(cm-1)
Fe,1,1731.0236,0.0009,1731.0231,0.0004,5775.351,78,,,50979.579,56754.932,3d6.(5D).4s (6D).4d,e 5G,4,3d6.4s.(6D<9/2>).4f,2[9/2]*,4,,,L11631,,5775.351,8.661354312763791,wn(cm-1)
Fe,2,1730.8882,0.0008,1730.88945,0.00024,5775.803,0.4,,,107454.552,113230.351,3d5.(2D3).4s.4p.(3P*),4D*,1/2,3d6.(5D).7s,6D,3/2,,,L18349c139,,5775.803,8.661432573342818,wn(cm-1)
Fe,2,1730.7618,0.0007,1730.76060,0.00021,5776.225,1bl(Fe II)*,,,103002.660,108778.889,3d6.(3P2).4d,4D,5/2,3d5.(2F1).4s.4p.(3P*),4F*,3/2,,,L18349c148,,5776.225,8.661505634107593,wn(cm-1)
Fe,2,1730.67487,0.00009,1730.67460,0.00015,5776.5151,13,,,107459.780,113236.296,3d5.(2F1).4s.4p.(3P*),4G*,7/2,3d6.(5D).7s,4D,5/2,,,L18349c139,,5776.5151,8.6615558559593,wn(cm-1)
Fe,2,1730.50597,0.00008,1730.50624,0.00018,5777.0789,110,3.03e+06,B+,84710.749,90487.827,3d6.(5D).4d,e 6G,7/2,3d6.(5D).5p,6F*,5/2,,T6892c83,L18349c139,,5777.0789,8.661653453295756,wn(cm-1)
Fe,1,1730.2318,0.0009,1730.2304,0.0007,5777.994,1450,,,48928.388,54706.387,3d7.(4F).5s,e 3F,2,3d7.(4F).5p,3F*,2,,,L11631,,5777.994,8.661811842604042,wn(cm-1)
Fe,1,1730.1695,0.0009,1730.1696,0.0007,5778.202,71,,,50342.129,56120.331,3d6.(5D).4s (6D).4d,e 7F,6,3d6.4s.(6D).6p,7D*,5,,,L11631,,5778.202,8.661847840608926,wn(cm-1)
