element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Ni,2,237.542,,237.5420,,42085.0,1000,6.6e+07,B,14995.57,57080.55,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(3F).4p,2F*,7/2,,T1024n,L897,,42085.0,10.647446661645677,wn(cm-1)
Ni,2,,,236.7384,,42227.81,,7.4e+06,B,9330.04,51557.85,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3F).4p,4D*,7/2,,T1024n,,,42227.81,10.650834287715169,wn(cm-1)
Ni,2,,,235.6403,,42424.59,,2.8e+07,C,14995.57,57420.16,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(3F).4p,2D*,5/2,,T1024n,,,42424.59,10.655483425942588,wn(cm-1)
Ni,2,234.120,,,,42700.1,500,,,,,,,,,,,,,L897,,42700.1,10.661956541134348,wn(cm-1)
Ni,2,233.458,,233.4586,,42821.1,500,8.0e+07,C,13550.39,56371.41,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(3F).4p,2G*,7/2,,T1024n,L897,,42821.1,10.664786250744125,wn(cm-1)
Ni,2,,,232.6451,,42970.73,,3.3e+07,D,10663.89,53634.62,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(3F).4p,4D*,3/2,,T5005,,,42970.73,10.668274465221431,wn(cm-1)
Ni,2,231.975,,,,43094.9,500,,,,,,,,,,,,,L897,,43094.9,10.671159939623998,wn(cm-1)
Ni,2,231.604,,231.6036,,43163.9,1000,2.88e+08,B,8393.90,51557.85,3p6.3d8.(3F).4s,4F,9/2,3p6.3d8.(3F).4p,4D*,7/2,,T1024n,L897,,43163.9,10.672759776735505,wn(cm-1)
Ni,2,230.300,,230.2992,,43408.3,1000,2.9e+08,C,9330.04,52738.45,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3F).4p,4D*,5/2,,T1024n,L897,,43408.3,10.678405946043279,wn(cm-1)
Ni,2,,,229.8267,,43497.64,,2.8e+08,C,14995.57,58493.21,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(3F).4p,2F*,5/2,,T1024n,,,43497.64,10.680461962731473,wn(cm-1)
Ni,2,,,229.7489,,43512.37,,3.0e+08,B,10663.89,54176.26,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(3F).4p,4D*,1/2,,T1024n,,,43512.37,10.680800544468003,wn(cm-1)
Ni,2,229.714,,229.7141,,43519.0,400,2.70e+08,B,10115.66,53634.62,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(3F).4p,4D*,3/2,,T1024n,L897,,43519.0,10.68095290332465,wn(cm-1)
Ni,2,229.655,,229.6550,,43530.2,400,1.98e+08,B,13550.39,57080.55,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(3F).4p,2F*,7/2,,T1024n,L897,,43530.2,10.681210229068295,wn(cm-1)
Ni,2,228.765,,,,43699.5,500,,,,,,,,,,,,,L897,,43699.5,10.685091939370627,wn(cm-1)
