"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Fe","2","481.9026","0.0003","481.90248","0.00003","20745.283","70","","","60989.444","81734.733","3d6.(3H).4p","z 4H*","9/2","3d5.4s2","2F2","7/2","","","L18349c139","",20745.283,9.94007417451533,"wn(cm-1)"
"Fe","2","481.6192","0.0008","481.61996","0.00003","20757.49","100","","","64087.408","84844.866","3d6.(3F2).4p","y 4G*","5/2","3d6.(5D).4d","e 6G","5/2","","","L18349c139","",20757.49,9.94066242438249,"wn(cm-1)"
"Fe","2","481.52346","0.00020","481.523990","0.000023","20761.618","23bl(Fe I)","","","92225.549","112987.144","3d6.(5D).5p","4P*","3/2","3d6.(5D).7s","6D","5/2","","","L18349c148","",20761.618,9.94086127258576,"wn(cm-1)"
"Fe","2","481.4544","","481.45442","0.00003","20764.60",":","5.46e-01","B","1872.5998","22637.1950","3d7","a 4F","9/2","3d6.(3F2).4s","b 4F","9/2","E2","T9588,T10588c103","L22747,L22760","",20764.6,9.94100489269607,"wn(cm-1)"
"Fe","2","481.31125","0.00010","481.31168","0.00004","20770.771","40bl(Fe I)","","","92216.391","112987.144","3d6.(3P1).4p","u 2D*","3/2","3d6.(5D).7s","6D","5/2","","","L18349c148","",20770.771,9.94130203702857,"wn(cm-1)"
"Fe","2","481.04927","0.00017","481.04955","0.00003","20782.083","27","","","89119.452","109901.523","3d6.(5D).5p","6D*","5/2","3d6.(3G).4d","2G","7/2","","","L18349c139","",20782.083,9.94184650024544,"wn(cm-1)"
"Fe","2","480.3063","0.0002","480.305234","0.000023","20814.230","23","","","86710.911","107525.187","3d6.(5D).4d","e 4F","3/2","3d6.(5D).6p","6P*","5/2","","","L18349c145","",20814.23,9.94339216639139,"wn(cm-1)"
"Fe","2","480.01283","0.00013","480.012138","0.000021","20826.955","70bl(Fe I)","","","82853.704","103680.689","3d6.(5D).4d","e 6F","11/2","3d6.(5D<2>).4f","2[5]*","9/2","","","L18349c148","",20826.955,9.94400334017984,"wn(cm-1)"
"Fe","2","479.87308","0.00010","479.87378","0.00004","20833.020","40bl(Fe I)","","","92154.154","112987.144","3d5.(4D).4s.4p.(3P*)","6F*","7/2","3d6.(5D).7s","6D","5/2","","","L18349c148","",20833.02,9.94429450694328,"wn(cm-1)"
"Fe","2","479.8276","","479.827582","0.000021","20834.99",":","8.3e-02","C+","977.0498","21812.0454","3d6.(5D).4s","a 6D","1/2","3d6.(3P2).4s","b 4P","3/2","M1","T9588,T10588c104","L22760","",20834.99,9.94438906389484,"wn(cm-1)"
"Fe","2","479.7730","0.0004","479.77244","0.00003","20837.368","33","","","82853.704","103691.094","3d6.(5D).4d","e 6F","11/2","3d6.(5D<2>).4f","2[5]*","11/2","","","L18349c139","",20837.368,9.94450319230593,"wn(cm-1)"
"Fe","2","478.8459","0.0004","478.8453","0.0007","20877.710","13*","","","92089.043","112966.779","3d5.(4G).4s.4p.(3P*)","x 4H*","7/2","3d5.(6S).4p2","6P","7/2","","","L18349c148","",20877.71,9.9464373616524,"wn(cm-1)"
"Fe","2","478.74400","0.00018","478.74371","0.00004","20882.153","50","","","89727.383","110609.548","3d6.(3F1).4p","4G*","5/2","3d6.(3G).4d","4F","3/2","","","L18349c139","",20882.153,9.94665014970761,"wn(cm-1)"
"Fe","2","478.0008","0.0005","478.001733","0.000021","20914.62","19","6.e+04","D","63948.803","84863.382","3d6.(3F2).4p","y 4G*","9/2","3d6.(5D).4d","e 4G","11/2","","T6892c83","L18349c139","",20914.62,9.94820371493286,"wn(cm-1)"
"Fe","2","477.4728","","477.47283","0.00003","20937.75",":","1.32e-01","C+","1872.5998","22810.3459","3d7","a 4F","9/2","3d6.(3F2).4s","b 4F","7/2","E2","T9588,T10588c104","L22747,L22760","",20937.75,9.94930902879464,"wn(cm-1)"
"Fe","2","","","477.206446","0.000018","20949.4336","","3.1e-02","E","862.6118","21812.0454","3d6.(5D).4s","a 6D","3/2","3d6.(3P2).4s","b 4P","3/2","M1","T9588c100","","",20949.4336,9.94986688918529,"wn(cm-1)"
"Fe","2","475.61226","0.00015","475.61240","0.00009","21019.652","18","","","84359.779","105379.425","3d6.(1F).4p","v 2D*","3/2","3d6.(3F2).4d","4D","5/2","","","L18349c139","",21019.652,9.95321308863262,"wn(cm-1)"
"Fe","2","","","474.54891","0.00003","21066.7514","","1.42e-02","C+","1872.5998","22939.3512","3d7","a 4F","9/2","3d6.(3F2).4s","b 4F","5/2","E2","T9588c100","","",21066.7514,9.95545131361065,"wn(cm-1)"
"Fe","2","474.2544","0.0005","474.25520","0.00016","21079.83","13","","","78841.872","99921.670","3d6.(1D2).4p","w 2P*","1/2","3d6.(3P2).5s","2P","1/2","","","L18349c139","",21079.83,9.95607193810665,"wn(cm-1)"
"Fe","2","474.0407","0.0009","474.04060","0.00007","21089.34","2.7","","","87572.959","108662.300","3d5.(4G).4s.4p.(3P*)","y 6F*","5/2","3d6.(3D).5s","4D","3/2","","","L18349c139","",21089.34,9.95652297853079,"wn(cm-1)"
"Fe","2","473.7594","0.0002","473.75956","0.00007","21101.860","35bl(Fe I)","","","73637.285","94739.136","3d5.4s2","4F","3/2","3d5.(4P).4s.4p.(3P*)","4P*","3/2","","","L18349c148","",21101.86,9.9571164672378,"wn(cm-1)"
"Fe","2","473.2928","0.0004","473.29241","0.00003","21122.660","6bl(Fe II)*","","","92358.625","113481.304","3d5.(4G).4s.4p.(3P*)","v 4F*","3/2","3d6.(5D).7s","4D","3/2","","","L18349c148","",21122.66,9.95810167685924,"wn(cm-1)"
"Fe","2","473.1439","0.0015","473.144766","0.000016","21129.31","110aff(Fe I)","2.8e+04","E","23317.6351","44446.9051","3d5.4s2","a 6S","5/2","3d6.(5D).4p","z 4D*","7/2","","T6892c83","L7357","",21129.31,9.95841645508401,"wn(cm-1)"
