element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,2,"=""""","=""""","=""612.92258""","=""0.00005""","=""16310.7598""","=""""","=""1.1e+05""",D,"=""38314.8348""","=""54625.5946""","=""3d4.(3D).4s""","=""c 4D""","=""5/2""","=""3d4.(5D).4p""","=""z 4D*""","=""5/2""",,"=""T4502""","=""""",
Cr,2,"=""613.17748""","=""0.00009""","=""613.17725""","=""0.00005""","=""16303.979""","=""14""","=""""",,"=""49706.2607""","=""66010.2463""","=""3d4.(5D).4p""","=""z 4P*""","=""5/2""","=""3d3.4s2""","=""d 4P""","=""3/2""",,"=""""","=""L18847""",
Cr,1,"=""613.576""","=""0.004""","=""613.5724""","=""0.0007""","=""16293.39""","=""25""","=""""",,"=""38911.3046""","=""55204.79""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d4.4s.5s""","=""e 3D""","=""3""",,"=""""","=""L808""",
Cr,1,"=""613.824""","=""0.004""","=""613.8236""","=""0.0015""","=""16286.81""","=""4""","=""""",,"=""45643.231""","=""61930.05""","=""3d5.(6S).6s""","=""f 7S""","=""3""","=""3d5.(4F).4p""","=""q 3G*""","=""3""",,"=""""","=""L808""",
Cr,1,"=""614.171""","=""0.004""","=""614.1692""","=""0.0004""","=""16277.61""","=""15""","=""""",,"=""33906.539""","=""50184.191""","=""3d4.4s2""","=""c 3D""","=""1""","=""3d5.(4D).4p""","=""w 3D*""","=""2""",,"=""""","=""L808""",
Cr,1,"=""615.2080""","=""0.0013""","=""615.20796""","=""0.00015""","=""16250.17""","=""1""","=""""",,"=""33060.661""","=""49310.830""","=""3d5.(2F1).4s""","=""b 3F""","=""3""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""3""",,"=""""","=""L14866""",
Cr,1,"=""615.271""","=""0.006""","=""615.26549""","=""0.00003""","=""16248.50""","=""10*""","=""""",,"=""27820.1975""","=""44068.8470""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""3""","=""3d5.(6S).4d""","=""e 5D""","=""3""",,"=""""","=""L808""",
Cr,1,"=""615.271""","=""0.006""","=""615.26820""","=""0.00023""","=""16248.50""","=""10*""","=""""",,"=""33935.613""","=""50184.191""","=""3d4.4s2""","=""c 3D""","=""2""","=""3d5.(4D).4p""","=""w 3D*""","=""2""",,"=""""","=""L808""",
Cr,1,"=""615.4453""","=""0.0004""","=""615.44432""","=""0.00015""","=""16243.902""","=""25""","=""""",,"=""38730.6379""","=""54974.566""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d4.4s.5s""","=""e 3D""","=""2""",,"=""""","=""L9190""",
Cr,2,"=""615.81319""","=""0.00002""","=""615.81315""","=""0.00011""","=""16234.1981""","=""75""","=""""",,"=""89325.2787""","=""105559.4780""","=""3d4.(5D).4d""","=""e 4G""","=""9/2""","=""3d4.(5D<3>).4f""","=""2[6]*""","=""11/2""",,"=""""","=""L18847""",
Cr,2,"=""615.818849""","=""0.000019""","=""615.81885""","=""0.00011""","=""16234.0490""","=""80""","=""""",,"=""89508.4990""","=""105742.5481""","=""3d4.(5D).4d""","=""e 4G""","=""11/2""","=""3d4.(5D<4>).4f""","=""2[7]*""","=""13/2""",,"=""""","=""L18847""",
Cr,2,"=""615.86184""","=""0.00002""","=""615.86183""","=""0.00011""","=""16232.9157""","=""54""","=""""",,"=""89173.9920""","=""105406.9081""","=""3d4.(5D).4d""","=""e 4G""","=""7/2""","=""3d4.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18847""",
Cr,1,"=""615.9424""","=""0.0013""","=""615.94284""","=""0.00003""","=""16230.79""","=""1""","=""""",,"=""27820.1975""","=""44050.9786""","=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""3""","=""3d5.(6S).4d""","=""e 5D""","=""4""",,"=""""","=""L14866""",
Cr,2,"=""616.10400""","=""0.00003""","=""616.10398""","=""0.00011""","=""16226.5354""","=""46""","=""""",,"=""89055.9455""","=""105282.4815""","=""3d4.(5D).4d""","=""e 4G""","=""5/2""","=""3d4.(5D<1>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L18847""",
Cr,1,"=""616.821""","=""0.008""","=""616.8223""","=""0.0019""","=""16207.7""","=""10w""","=""""",,"=""38596.9917""","=""54804.63""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d4.4s.5s""","=""e 3D""","=""1""",,"=""""","=""L808""",
Cr,1,"=""617.156""","=""0.004""","=""617.1531""","=""0.0004""","=""16198.88""","=""7""","=""""",,"=""33906.539""","=""50105.4904""","=""3d4.4s2""","=""c 3D""","=""1""","=""3d5.(4D).4p""","=""w 3D*""","=""1""",,"=""""","=""L808""",
Cr,1,"=""617.2040""","=""0.0003""","=""617.20393""","=""0.00011""","=""16197.616""","=""5""","=""""",,"=""33113.212""","=""49310.830""","=""3d5.(2F1).4s""","=""b 3F""","=""4""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 3D*""","=""3""",,"=""""","=""L14866""",
Cr,2,"=""617.9105""","=""0.0002""","=""617.91026""","=""0.00007""","=""16179.096""","=""4""","=""""",,"=""52297.7730""","=""68476.8759""","=""3d5""","=""d 2G""","=""7/2""","=""3d4.(3H).4p""","=""z 2H*""","=""9/2""",,"=""""","=""L18847""",
Cr,2,"=""617.92244""","=""0.00011""","=""617.92231""","=""0.00011""","=""16178.784""","=""8""","=""""",,"=""89724.1745""","=""105902.9618""","=""3d4.(5D).4d""","=""f 4D""","=""3/2""","=""3d4.(5D<4>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L18847""",
