element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ni,1,"=""""","=""""","=""623.0089""","=""""","=""16046.696""","=""""","=""1.9e+06""",E,"=""33112.334""","=""49159.030""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""3""","=""3d9.(2D<5/2>).4d""","=""2[3/2]""","=""2""",,"=""T2765""","=""""",
Ni,1,"=""625.636""","=""""","=""625.6355""","=""""","=""15979.3""","=""13""","=""1.9e+05""",D,"=""13521.347""","=""29500.674""","=""3d8.(1D).4s2""","=""1D""","=""2""","=""3d9.(2D).4p""","=""3P*""","=""1""",,"=""T2765n""","=""L3475""",
Ni,1,"=""""","=""""","=""627.1768""","=""""","=""15940.058""","=""""","=""5.8e+04""",D,"=""26665.887""","=""42605.945""","=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""3""","=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""",,"=""T4287""","=""""",
Ni,1,"=""""","=""""","=""627.2628""","=""""","=""15937.872""","=""""","=""5.9e+05""",D,"=""34408.555""","=""50346.427""","=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""1""","=""3d8.4s.(4F).5s""","=""5F""","=""2""",,"=""T4287""","=""""",
Ni,17,"=""""","=""""","=""629.0""","=""""","=""15893""","=""""","=""7.0e+01""",C,"=""627914""","=""643807""","=""3p2""","=""3P""","=""0""","=""3p2""","=""3P""","=""1""",M1,"=""T3808""","=""""",
Ni,1,"=""631.466""","=""""","=""631.4659""","=""""","=""15831.8""","=""10""","=""5.7e+05""",D,"=""15609.844""","=""31441.635""","=""3d8.(3P).4s2""","=""3P""","=""2""","=""3d9.(2D).4p""","=""1D*""","=""2""",,"=""T2765n""","=""L3475""",
Ni,1,"=""""","=""""","=""631.6574""","=""""","=""15826.989""","=""""","=""4.2e+05""",D,"=""33500.822""","=""49327.811""","=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""3""","=""3d9.(2D<5/2>).4d""","=""2[5/2]""","=""2""",,"=""T4287""","=""""",
Ni,1,"=""""","=""""","=""632.2166""","=""""","=""15812.992""","=""""","=""1.6e+06""",D,"=""33500.822""","=""49313.814""","=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""3""","=""3d9.(2D<5/2>).4d""","=""2[7/2]""","=""3""",,"=""T4287""","=""""",
Ni,1,"=""""","=""""","=""632.7599""","=""""","=""15799.415""","=""""","=""1.7e+04""",E,"=""13521.347""","=""29320.762""","=""3d8.(1D).4s2""","=""1D""","=""2""","=""3d9.(2D).4p""","=""3F*""","=""3""",,"=""T2765n""","=""""",
Ni,4,"=""""","=""""","=""634.35""","=""""","=""15759.9""","=""""","=""3.6e-02""",E,"=""27677.6""","=""43437.5""","=""3p6.3d7""","=""2H""","=""9/2""","=""3p6.3d7""","=""2F""","=""5/2""",E2,"=""T4605""","=""""",
